# Guess for Rs	Radial constraint	Angular constraint
35448.9	-4.71735e+07	9.12729e+13
70897.7	-2.35867e+07	3.72542e+12
106347	-1.57245e+07	1.62023e+12
141795	-1.17934e+07	1.01133e+12
177244	-9.43469e+06	7.30183e+11
212693	-7.86224e+06	5.69862e+11
248142	-6.73907e+06	4.66698e+11
283591	-5.89668e+06	3.94907e+11
319040	-5.2415e+06	3.42131e+11
354489	-4.71735e+06	3.01728e+11
389937	-4.2885e+06	2.6982e+11
425386	-3.93112e+06	2.43991e+11
460835	-3.62873e+06	2.22659e+11
496284	-3.36953e+06	2.04746e+11
531733	-3.1449e+06	1.89494e+11
567182	-2.94834e+06	1.76351e+11
602631	-2.77491e+06	1.6491e+11
638079	-2.62075e+06	1.5486e+11
673528	-2.48281e+06	1.45963e+11
708977	-2.35867e+06	1.38031e+11
744426	-2.24636e+06	1.30915e+11
779875	-2.14425e+06	1.24496e+11
815324	-2.05102e+06	1.18677e+11
850773	-1.96556e+06	1.13377e+11
886221	-1.88694e+06	1.08529e+11
921670	-1.81436e+06	1.04079e+11
957119	-1.74717e+06	9.99784e+10
992568	-1.68477e+06	9.61888e+10
1.02802e+06	-1.62667e+06	9.26758e+10
1.06347e+06	-1.57245e+06	8.94101e+10
1.09891e+06	-1.52172e+06	8.63667e+10
1.13436e+06	-1.47417e+06	8.35235e+10
1.16981e+06	-1.4295e+06	8.08613e+10
1.20526e+06	-1.38745e+06	7.83636e+10
1.24071e+06	-1.34781e+06	7.60155e+10
1.27616e+06	-1.31037e+06	7.38039e+10
1.31161e+06	-1.27496e+06	7.17173e+10
1.34706e+06	-1.24141e+06	6.97454e+10
1.38251e+06	-1.20958e+06	6.7879e+10
1.41795e+06	-1.17934e+06	6.61098e+10
1.4534e+06	-1.15057e+06	6.44305e+10
1.48885e+06	-1.12318e+06	6.28343e+10
1.5243e+06	-1.09706e+06	6.13153e+10
1.55975e+06	-1.07212e+06	5.9868e+10
1.5952e+06	-1.0483e+06	5.84874e+10
1.63065e+06	-1.02551e+06	5.7169e+10
1.6661e+06	-1.00369e+06	5.59088e+10
1.70155e+06	-982781	5.47029e+10
1.73699e+06	-962724	5.35479e+10
1.77244e+06	-943469	5.24406e+10
1.80789e+06	-924970	5.13782e+10
1.84334e+06	-907182	5.0358e+10
1.87879e+06	-890065	4.93775e+10
1.91424e+06	-873583	4.84344e+10
1.94969e+06	-857699	4.75267e+10
1.98514e+06	-842383	4.66524e+10
2.02058e+06	-827605	4.58096e+10
2.05603e+06	-813336	4.49968e+10
2.09148e+06	-799550	4.42123e+10
2.12693e+06	-786224	4.34546e+10
2.16238e+06	-773336	4.27225e+10
2.19783e+06	-760862	4.20147e+10
2.23328e+06	-748785	4.13299e+10
2.26873e+06	-737085	4.06671e+10
2.30418e+06	-725746	4.00252e+10
2.33962e+06	-714750	3.94033e+10
2.37507e+06	-704082	3.88003e+10
2.41052e+06	-693727	3.82156e+10
2.44597e+06	-683673	3.76482e+10
2.48142e+06	-673907	3.70974e+10
2.51687e+06	-664415	3.65625e+10
2.55232e+06	-655187	3.60428e+10
2.58777e+06	-646212	3.55377e+10
2.62322e+06	-637479	3.50465e+10
2.65866e+06	-628980	3.45687e+10
2.69411e+06	-620704	3.41038e+10
2.72956e+06	-612642	3.36512e+10
2.76501e+06	-604788	3.32104e+10
2.80046e+06	-597133	3.27811e+10
2.83591e+06	-589668	3.23627e+10
2.87136e+06	-582389	3.19548e+10
2.90681e+06	-575286	3.15571e+10
2.94226e+06	-568355	3.11692e+10
2.9777e+06	-561589	3.07907e+10
3.01315e+06	-554982	3.04213e+10
3.0486e+06	-548529	3.00606e+10
3.08405e+06	-542224	2.97084e+10
3.1195e+06	-536062	2.93644e+10
3.15495e+06	-530039	2.90282e+10
3.1904e+06	-524150	2.86997e+10
3.22585e+06	-518390	2.83784e+10
3.26129e+06	-512755	2.80643e+10
3.29674e+06	-507242	2.77571e+10
3.33219e+06	-501845	2.74565e+10
3.36764e+06	-496563	2.71624e+10
3.40309e+06	-491390	2.68745e+10
3.43854e+06	-486324	2.65927e+10
3.47399e+06	-481362	2.63167e+10
3.50944e+06	-476500	2.60463e+10
3.54489e+06	-471735	2.57815e+10
3.58033e+06	-467064	2.5522e+10
3.61578e+06	-462485	2.52676e+10
3.65123e+06	-457995	2.50183e+10
3.68668e+06	-453591	2.47739e+10
3.72213e+06	-449271	2.45341e+10
3.75758e+06	-445033	2.4299e+10
3.79303e+06	-440874	2.40684e+10
3.82848e+06	-436791	2.3842e+10
3.86393e+06	-432784	2.36199e+10
3.89937e+06	-428850	2.34019e+10
3.93482e+06	-424986	2.31879e+10
3.97027e+06	-421192	2.29778e+10
4.00572e+06	-417464	2.27714e+10
4.04117e+06	-413802	2.25687e+10
4.07662e+06	-410204	2.23696e+10
4.11207e+06	-406668	2.2174e+10
4.14752e+06	-403192	2.19817e+10
4.18297e+06	-399775	2.17928e+10
4.21841e+06	-396416	2.16071e+10
4.25386e+06	-393112	2.14245e+10
4.28931e+06	-389863	2.1245e+10
4.32476e+06	-386668	2.10685e+10
4.36021e+06	-383524	2.08948e+10
4.39566e+06	-380431	2.0724e+10
4.43111e+06	-377388	2.0556e+10
4.46656e+06	-374393	2.03907e+10
4.502e+06	-371445	2.0228e+10
4.53745e+06	-368543	2.00679e+10
4.5729e+06	-365686	1.99103e+10
4.60835e+06	-362873	1.97552e+10
4.6438e+06	-360103	1.96025e+10
4.67925e+06	-357375	1.94521e+10
4.7147e+06	-354688	1.9304e+10
