#<time>	<y vector>	<local error>
0 39.3768 4.10194e+07 0.0882366 3.23206e-05
1.75366e-08 39.3768 4.10194e+07 0.0882366 3.23206e-05
5.26097e-08 39.3768 4.10194e+07 0.0882366 3.23206e-05
1.22756e-07 39.3768 4.10194e+07 0.0882366 3.23206e-05
2.63049e-07 39.3768 4.10194e+07 0.0882366 3.23206e-05
5.43634e-07 39.3768 4.10194e+07 0.0882366 3.23206e-05
1.1048e-06 39.3768 4.10194e+07 0.0882366 3.23206e-05
2.22715e-06 39.3768 4.10194e+07 0.0882366 3.23206e-05
4.47183e-06 39.3768 4.10194e+07 0.0882366 3.23206e-05
8.96119e-06 39.3768 4.10194e+07 0.0882366 3.23206e-05
1.79399e-05 39.3768 4.10194e+07 0.0882366 3.23206e-05
3.58974e-05 39.3768 4.10194e+07 0.0882366 3.23206e-05
7.18123e-05 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000143642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000243642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000343642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000443642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000543642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000643642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000743642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000843642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.000943642 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00104364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00114364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00124364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00134364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00144364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00154364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00164364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00174364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00184364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00194364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00204364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00214364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00224364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00234364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00244364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00254364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00264364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00274364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00284364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00294364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00304364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00314364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00324364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00334364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00344364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00354364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00364364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00374364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00384364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00394364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00404364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00414364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00424364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00434364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00444364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00454364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00464364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00474364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00484364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00494364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00504364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00514364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00524364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00534364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00544364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00554364 39.3768 4.10194e+07 0.0882366 3.23206e-05
0.00564364 39.3768 4.10194e+07 0.0882366 3.23206e-05
