# R v_R c2s omega rho H omega_prime T
8.82723e+28 -1.27106e-07 1.53866e-10 3.35251e-21 -2.19792e-22 4.53052e+10 -1.3928e-37 6.0504e-12
8.82723e+28 -1.27106e-07 1.54871e-10 3.35251e-21 -2.18366e-22 4.5601e+10 -1.39462e-37 6.06915e-12
8.82723e+28 -1.27106e-07 1.56855e-10 3.35251e-21 -2.15604e-22 4.61852e+10 -1.39824e-37 6.10609e-12
8.82723e+28 -1.27106e-07 1.60728e-10 3.35251e-21 -2.10409e-22 4.73255e+10 -1.40535e-37 6.17783e-12
8.82723e+28 -1.27106e-07 1.68123e-10 3.35251e-21 -2.01154e-22 4.95029e+10 -1.41912e-37 6.31364e-12
8.82723e+28 -1.27106e-07 1.81719e-10 3.35251e-21 -1.86104e-22 5.35063e+10 -1.44516e-37 6.55985e-12
8.82722e+28 -1.27106e-07 2.05278e-10 3.35251e-21 -1.64746e-22 6.04429e+10 -1.49263e-37 6.97855e-12
8.82721e+28 -1.27106e-07 2.42836e-10 3.35251e-21 -1.39266e-22 7.15017e+10 -1.57514e-37 7.63506e-12
8.8272e+28 -1.27106e-07 2.96507e-10 3.35251e-21 -1.14057e-22 8.73046e+10 -1.71029e-37 8.57447e-12
8.82716e+28 -1.27106e-07 3.62175e-10 3.35251e-21 -9.33778e-23 1.0664e+11 -1.91104e-37 9.76986e-12
8.8271e+28 -1.27106e-07 4.23425e-10 3.35251e-21 -7.98716e-23 1.24673e+11 -2.14652e-37 1.09791e-11
8.82696e+28 -1.27106e-07 4.60135e-10 3.35251e-21 -7.35015e-23 1.3548e+11 -2.31945e-37 1.17742e-11
8.82669e+28 -1.27106e-07 4.66629e-10 3.35251e-21 -7.2483e-23 1.37388e+11 -2.35804e-37 1.19342e-11
8.82615e+28 -1.27106e-07 6.74191e-09 3.35251e-21 -5.0174e-24 1.98488e+12 1.85898e-38 9.12175e-12
8.8251e+28 -1.27106e-07 7.22025e-09 3.35251e-21 -4.68611e-24 2.12545e+12 1.73363e-38 9.03793e-12
8.823e+28 -1.27106e-07 8.08672e-09 3.35251e-21 -4.186e-24 2.37995e+12 1.55183e-38 8.92165e-12
8.81879e+28 -1.27106e-07 9.57433e-09 3.35251e-21 -3.53898e-24 2.81641e+12 1.33124e-38 8.80237e-12
8.81038e+28 -1.27106e-07 1.1985e-08 3.35251e-21 -2.83255e-24 3.52218e+12 1.11362e-38 8.7561e-12
8.80155e+28 -1.27106e-07 1.40611e-08 3.35251e-21 -2.41917e-24 4.12817e+12 1.00187e-38 8.8157e-12
8.79272e+28 -1.27106e-07 1.58592e-08 3.35251e-21 -2.14919e-24 4.65141e+12 9.37925e-39 8.92123e-12
8.7839e+28 -1.27106e-07 1.7468e-08 3.35251e-21 -1.95518e-24 5.1181e+12 8.98037e-39 9.04927e-12
8.77507e+28 -1.27106e-07 1.8937e-08 3.35251e-21 -1.80714e-24 5.54294e+12 8.72072e-39 9.18934e-12
8.76624e+28 -1.27106e-07 2.02973e-08 3.35251e-21 -1.68942e-24 5.93515e+12 8.54922e-39 9.33599e-12
8.75741e+28 -1.27106e-07 2.15701e-08 3.35251e-21 -1.59294e-24 6.30098e+12 8.4371e-39 9.48614e-12
8.74859e+28 -1.27106e-07 2.27704e-08 3.35251e-21 -1.51202e-24 6.64488e+12 8.36688e-39 9.63794e-12
8.73976e+28 -1.27106e-07 2.39092e-08 3.35251e-21 -1.44291e-24 6.97017e+12 8.3273e-39 9.79023e-12
8.73093e+28 -1.27106e-07 2.49952e-08 3.35251e-21 -1.38301e-24 7.27941e+12 8.31074e-39 9.94226e-12
8.72211e+28 -1.27106e-07 2.6035e-08 3.35251e-21 -1.33046e-24 7.57459e+12 8.31189e-39 1.00935e-11
8.71328e+28 -1.27106e-07 2.70342e-08 3.35251e-21 -1.28389e-24 7.85733e+12 8.32691e-39 1.02438e-11
8.70445e+28 -1.27106e-07 2.79972e-08 3.35251e-21 -1.24224e-24 8.12895e+12 8.35297e-39 1.03927e-11
8.69562e+28 -1.27106e-07 2.89275e-08 3.35251e-21 -1.20473e-24 8.39057e+12 8.38793e-39 1.05402e-11
8.6868e+28 -1.27106e-07 2.98284e-08 3.35251e-21 -1.17072e-24 8.64309e+12 8.43016e-39 1.06862e-11
8.67797e+28 -1.27106e-07 3.07024e-08 3.35251e-21 -1.13971e-24 8.88731e+12 8.47836e-39 1.08307e-11
8.66914e+28 -1.27106e-07 3.15519e-08 3.35251e-21 -1.11129e-24 9.12392e+12 8.53154e-39 1.09735e-11
8.66032e+28 -1.27106e-07 3.23788e-08 3.35251e-21 -1.08512e-24 9.35349e+12 8.58887e-39 1.11148e-11
8.65149e+28 -1.27106e-07 3.31847e-08 3.35251e-21 -1.06092e-24 9.57654e+12 8.6497e-39 1.12546e-11
